"中
4 画",2 5 1 2,0113,04E2D
汉字,,《字表》序号,UCS
"贝
4 画",2 5 3 4,0114,08D1D
"冈
4 画",2 5 3 4,0115,05188
"内
4 画",2 5 3 4,0116,05185
"水
4 画",2 5 3 4,0117,06C34
"见
4 画",2 5 3 5,0118,089C1
"午
4 画",3 1 1 2,0119,05348
"牛
4 画",3 1 1 2,0120,0725B
"手
4 画",3 1 1 2,0121,0624B
"气
4 画",3 1 1 5,0122,06C14
"毛
4 画",3 1 1 5,0123,06BDB
"壬
4 画",3 1 2 1,0124,058EC
"升
4 画",3 1 3 2,0125,05347
"夭
4 画",3 1 3 4,0126,0592D
"长
4 画",3 1 5 4,0127,0957F
"仁
4 画",3 2 1 1,0128,04EC1
"什
4 画",3 2 1 2,0129,04EC0
"仃
4 画",3 2 1 2,3515,04EC3
"片
4 画",3 2 1 5,0130,07247
"仆
4 画",3 2 2 4,0131,04EC6
"化
4 画",3 2 3 5,0132,05316
"仉
4 画",3 2 3 5,3516,04EC9
"仇
4 画",3 2 3 5,0133,04EC7
"币
4 画",3 2 5 2,0134,05E01
"仂
4 画",3 2 5 3,3517,04EC2
"仍
4 画",3 2 5 3,0135,04ECD
"仅
4 画",3 2 5 4,0136,04EC5
汉字,,《字表》序号,UCS
"斤
4 画",3 3 1 2,0137,065A4
"爪
4 画",3 3 2 4,0138,0722A
"反
4 画",3 3 5 4,0139,053CD
"兮
4 画",3 4 1 5,3518,0516E
"刈
4 画",3 4 2 2,3519,05208
"介
4 画",3 4 3 2,0140,04ECB
"父
4 画",3 4 3 4,0141,07236
"从
4 画",3 4 3 4,0142,04ECE
"爻
4 画",3 4 3 4,3520,0723B
"仑
4 画",3 4 3 5,0143,04ED1
"今
4 画",3 4 4 5,0144,04ECA
"凶
4 画",3 4 5 2,0145,051F6
"分
4 画",3 4 5 3,0146,05206
"乏
4 画",3 4 5 4,0147,04E4F
"公
4 画",3 4 5 4,0148,0516C
"仓
4 画",3 4 5 5,0149,04ED3
"月
4 画",3 5 1 1,0150,06708
"氏
4 画",3 5 1 5,0151,06C0F
"勿
4 画",3 5 3 3,0152,052FF
"欠
4 画",3 5 3 4,0153,06B20
"风
4 画",3 5 3 4,0154,098CE
"丹
4 画",3 5 4 1,0155,04E39
"匀
4 画",3 5 4 1,0156,05300
"乌
4 画",3 5 5 1,0157,04E4C
"卬
4 画",3 5 5 2,6504,0536C
"殳
4 画",3 5 5 4,6505,06BB3
汉字,,《字表》序号,UCS
"勾
4 画",3 5 5 4,0158,052FE
"凤
4 画",3 5 5 4,0159,051E4
"卞
4 画",4 1 2 4,3521,0535E
"六
4 画",4 1 3 4,0160,0516D
"文
4 画",4 1 3 4,0161,06587
"亢
4 画",4 1 3 5,0162,04EA2
"方
4 画",4 1 5 3,0163,065B9
"闩
4 画",4 2 5 1,3522,095E9
"火
4 画",4 3 3 4,0164,0706B
"为
4 画",4 3 5 4,0165,04E3A
"斗
4 画",4 4 1 2,0166,06597
"忆
4 画",4 4 2 5,0167,05FC6
"计
4 画",4 5 1 2,0168,08BA1
"订
4 画",4 5 1 2,0169,08BA2
"户
4 画",4 5 1 3,0170,06237
"讣
4 画",4 5 2 4,3523,08BA3
"认
4 画",4 5 3 4,0171,08BA4
"冗
4 画",4 5 3 5,0172,05197
"讥
4 画",4 5 3 5,0173,08BA5
"心
4 画",4 5 4 4,0174,05FC3
"尹
4 画",5 1 1 3,3524,05C39
"尺
4 画",5 1 3 4,0175,05C3A
"夬
4 画",5 1 3 4,3525,0592C
"引
4 画",5 1 5 2,0176,05F15
"丑
4 画",5 2 1 1,0177,04E11
"爿
4 画",5 2 1 3,3526,0723F
"巴
4 画",5 2 1 5,0178,05DF4
"孔
4 画",5 2 1 5,0179,05B54
"队
4 画",5 2 3 4,0180,0961F
"𠙶
4 画",5 2 5 2,6506,20676
"办
4 画",5 3 4 4,0181,0529E
"以
4 画",5 4 3 4,0182,04EE5
"允
4 画",5 4 3 5,0183,05141
"予
4 画",5 4 5 2,0184,04E88
"邓
4 画",5 4 5 2,0185,09093
"劝
4 画",5 4 5 3,0186,0529D
"双
4 画",5 4 5 4,0187,053CC
"毌
4 画",5 5 2 1,6507,06BCC
"书
4 画",5 5 2 4,0188,04E66
"毋
4 画",5 5 3 1,3527,06BCB
"幻
4 画",5 5 4 5,0189,05E7B
"玉
5 画",1 1 2 1 4,0190,07389
"刊
5 画",1 1 2 2 2,0191,0520A
"未
5 画",1 1 2 3 4,0192,0672A
"末
5 画",1 1 2 3 4,0193,0672B
"示
5 画",1 1 2 3 4,0194,0793A
"击
5 画",1 1 2 5 2,0195,051FB
"邗
5 画",1 1 2 5 2,3528,09097
"邘
5 画",1 1 2 5 2,6508,09098
"戋
5 画",1 1 5 3 4,6509,0620B
"圢
5 画",1 2 1 1 2,6510,05722
"打
5 画",1 2 1 1 2,0196,06253
汉字,,《字表》序号,UCS
"巧
5 画",1 2 1 1 5,0197,05DE7
"正
5 画",1 2 1 2 1,0198,06B63
"扑
5 画",1 2 1 2 4,0199,06251
"卉
5 画",1 2 1 3 2,0200,05349
"扒
5 画",1 2 1 3 4,0201,06252
"邛
5 画",1 2 1 5 2,3529,0909B
"功
5 画",1 2 1 5 3,0202,0529F
"扔
5 画",1 2 1 5 3,0203,06254
"去
5 画",1 2 1 5 4,0204,053BB
"甘
5 画",1 2 2 1 1,0205,07518
"世
5 画",1 2 2 1 5,0206,04E16
"艾
5 画",1 2 2 3 4,0207,0827E
"艽
5 画",1 2 2 3 5,3530,0827D
"古
5 画",1 2 2 5 1,0208,053E4
"节
5 画",1 2 2 5 2,0209,08282
"艿
5 画",1 2 2 5 3,3531,0827F
"本
5 画",1 2 3 4 1,0210,0672C
"术
5 画",1 2 3 4 4,0211,0672F
"札
5 画",1 2 3 4 5,3532,0672D
"可
5 画",1 2 5 1 2,0212,053EF
"叵
5 画",1 2 5 1 5,3533,053F5
"匝
5 画",1 2 5 2 5,3534,0531D
"丙
5 画",1 2 5 3 4,0213,04E19
"左
5 画",1 3 1 2 1,0214,05DE6
"厉
5 画",1 3 1 5 3,0215,05389
"丕
5 画",1 3 2 4 1,3535,04E15
汉字,,《字表》序号,UCS
"石
5 画",1 3 2 5 1,0216,077F3
"右
5 画",1 3 2 5 1,0217,053F3
"布
5 画",1 3 2 5 2,0218,05E03
"夯
5 画",1 3 4 5 3,0219,0592F
"戊
5 画",1 3 5 3 4,0220,0620A
"龙
5 画",1 3 5 3 4,0221,09F99
"平
5 画",1 4 3 1 2,0222,05E73
"灭
5 画",1 4 3 3 4,0223,0706D
"轧
5 画",1 5 2 1 5,0224,08F67
"东
5 画",1 5 2 3 4,0225,04E1C
"匜
5 画",1 5 2 5 5,3536,0531C
"劢
5 画",1 5 3 5 3,3537,052A2
"卡
5 画",2 1 1 2 4,0226,05361
"北
5 画",2 1 1 3 5,0227,05317
"占
5 画",2 1 2 5 1,0228,05360
"凸
5 画",2 1 2 5 1,0229,051F8
"卢
5 画",2 1 5 1 3,0230,05362
"业
5 画",2 2 4 3 1,0231,04E1A
"旧
5 画",2 2 5 1 1,0232,065E7
"帅
5 画",2 3 2 5 2,0233,05E05
"归
5 画",2 3 5 1 1,0234,05F52
"旦
5 画",2 5 1 1 1,0235,065E6
"目
5 画",2 5 1 1 1,0236,076EE
"且
5 画",2 5 1 1 1,0237,04E14
"叶
5 画",2 5 1 1 2,0238,053F6
"甲
5 画",2 5 1 1 2,0239,07532
汉字,,《字表》序号,UCS
"申
5 画",2 5 1 1 2,0240,07533
"叮
5 画",2 5 1 1 2,0241,053EE
"电
5 画",2 5 1 1 5,0242,07535
"号
5 画",2 5 1 1 5,0243,053F7
"田
5 画",2 5 1 2 1,0244,07530
"由
5 画",2 5 1 2 1,0245,07531
"卟
5 画",2 5 1 2 4,3538,0535F
"只
5 画",2 5 1 3 4,0246,053EA
"叭
5 画",2 5 1 3 4,0247,053ED
"史
5 画",2 5 1 3 4,0248,053F2
"央
5 画",2 5 1 3 4,0249,0592E
"叱
5 画",2 5 1 3 5,3539,053F1
"兄
5 画",2 5 1 3 5,0250,05144
"叽
5 画",2 5 1 3 5,0251,053FD
"叼
5 画",2 5 1 5 1,0252,053FC
"叫
5 画",2 5 1 5 2,0253,053EB
"叩
5 画",2 5 1 5 2,0254,053E9
"叨
5 画",2 5 1 5 3,0255,053E8
"叻
5 画",2 5 1 5 3,3540,053FB
"另
5 画",2 5 1 5 3,0256,053E6
"叹
5 画",2 5 1 5 4,0257,053F9
"冉
5 画",2 5 2 1 1,0258,05189
"皿
5 画",2 5 2 2 1,0259,076BF
"凹
5 画",2 5 2 5 1,0260,051F9
"囚
5 画",2 5 3 4 1,0261,056DA
"四
5 画",2 5 3 5 1,0262,056DB
汉字,,《字表》序号,UCS
"生
5 画",3 1 1 2 1,0263,0751F
"矢
5 画",3 1 1 3 4,0264,077E2
"失
5 画",3 1 1 3 4,0265,05931
"氕
5 画",3 1 1 5 3,6511,06C15
"乍
5 画",3 1 2 1 1,0266,04E4D
"禾
5 画",3 1 2 3 4,0267,079BE
"仨
5 画",3 2 1 1 1,3541,04EE8
"丘
5 画",3 2 1 2 1,0268,04E18
"仕
5 画",3 2 1 2 1,3542,04ED5
"付
5 画",3 2 1 2 4,0269,04ED8
"仗
5 画",3 2 1 3 4,0270,04ED7
"代
5 画",3 2 1 5 4,0271,04EE3
"仙
5 画",3 2 2 5 2,0272,04ED9
"仟
5 画",3 2 3 1 2,3543,04EDF
"仡
5 画",3 2 3 1 5,3544,04EE1
"仫
5 画",3 2 3 5 4,3545,04EEB
"伋
5 画",3 2 3 5 4,6512,04F0B
"们
5 画",3 2 4 2 5,0273,04EEC
"仪
5 画",3 2 4 3 4,0274,04EEA
"白
5 画",3 2 5 1 1,0275,0767D
"仔
5 画",3 2 5 2 1,0276,04ED4
"他
5 画",3 2 5 2 5,0277,04ED6
"仞
5 画",3 2 5 3 4,3546,04EDE
"斥
5 画",3 3 1 2 4,0278,065A5
"卮
5 画",3 3 1 5 5,3547,0536E
"瓜
5 画",3 3 5 4 4,0279,074DC
汉字,,《字表》序号,UCS
"仝
5 画",3 4 1 2 1,6513,04EDD
"乎
5 画",3 4 3 1 2,0280,04E4E
"丛
5 画",3 4 3 4 1,0281,04E1B
"令
5 画",3 4 4 5 4,0282,04EE4
"用
5 画",3 5 1 1 2,0283,07528
"甩
5 画",3 5 1 1 5,0284,07529
"印
5 画",3 5 1 5 2,0285,05370
"氐
5 画",3 5 1 5 4,3548,06C10
"尔
5 画",3 5 2 3 4,0286,05C14
"乐
5 画",3 5 2 3 4,0287,04E50
"句
5 画",3 5 2 5 1,0288,053E5
"匆
5 画",3 5 3 3 4,0289,05306
"犰
5 画",3 5 3 3 5,3549,072B0
"册
5 画",3 5 3 5 1,0290,0518C
"卯
5 画",3 5 3 5 2,0291,0536F
"犯
5 画",3 5 3 5 5,0292,072AF
"外
5 画",3 5 4 2 4,0293,05916
"处
5 画",3 5 4 2 4,0294,05904
"冬
5 画",3 5 4 4 4,0295,051AC
"鸟
5 画",3 5 4 5 1,0296,09E1F
"务
5 画",3 5 4 5 3,0297,052A1
"刍
5 画",3 5 5 1 1,3550,0520D
"包
5 画",3 5 5 1 5,0298,05305
